id,listing_id,unit_id,updated_at
543038046,16936171,UN0411,2019-10-06 4:09:31
543038047,17112468,UN0412,2019-10-06 4:09:31
543038048,16571476,UN0413,2019-10-06 4:09:31
543038049,17128777,UN0414,2019-10-06 4:09:31
543038050,16535453,UN0415,2019-10-06 4:09:31
543038051,16536019,UN0416,2019-10-06 4:09:31
543038052,19492746,UN0416,2019-10-06 4:09:31
543038054,14983365,UN0419,2019-10-06 4:09:31
543038063,18481004,UN0426,2019-10-06 4:09:31
543038065,7783132,UN0428,2019-10-06 4:09:31
543038067,7026699,UN0430,2019-10-06 4:09:31
543038068,11756134,UN0432,2019-10-06 4:09:31
543038069,7139802,UN0432,2019-10-06 4:09:31
543038070,11755185,UN0434,2019-10-06 4:09:31
543038074,18115802,UN0436,2019-10-06 4:09:31
543038076,7784157,UN0441,2019-10-06 4:09:31
543038078,12281334,UN0445,2019-10-06 4:09:31
543038079,16947438,UN0445,2019-10-06 4:09:31
543038082,12455355,UN0446,2019-10-06 4:09:31
543038096,9552249,UN0463,2019-10-06 4:09:31
543038098,13266098,UN0465,2019-10-06 4:09:31
543038099,9551202,UN0466,2019-10-06 4:09:31
543038103,14984366,UN0468,2019-10-06 4:09:31
543038111,14738967,UN0473,2019-10-06 4:09:31
543038117,19146949,UN0477,2019-10-06 4:09:31
543038123,20972847,UN0480,2019-10-06 4:09:31
543038126,19107137,UN0486,2019-10-06 4:09:31
543038127,19144122,UN0487,2019-10-06 4:09:31
543038132,20508416,UN0493,2019-10-06 4:09:31
543038141,14972676,UN0507,2019-10-06 4:09:31
543038144,6532076,UN0510,2019-10-06 4:09:31
543038145,12095253,UN0513,2019-10-06 4:09:31
543038153,12073945,UN0523,2019-10-06 4:09:31
543038154,12074329,UN0523,2019-10-06 4:09:31
543038157,9895344,UN0523,2019-10-06 4:09:31
543038161,12137716,UN0528,2019-10-06 4:09:31
543038162,16318658,UN0528,2019-10-06 4:09:31
543038163,18333830,UN0528,2019-10-06 4:09:31
543038168,11540916,UN0537,2019-10-06 4:09:31
543038174,7776233,UN0546,2019-10-06 4:09:31
543038179,11381626,UN0553,2019-10-06 4:09:31
543038182,12476791,UN0556,2019-10-06 4:09:31
543038183,12161018,UN0559,2019-10-06 4:09:31
543038184,10932320,UN0562,2019-10-06 4:09:31
543038194,12157352,UN0570,2019-10-06 4:09:31
543038195,21705022,UN0571,2019-10-06 4:09:31
543038196,23812895,UN0572,2019-10-06 4:09:31
543038197,23887213,UN0573,2019-10-06 4:09:31
543038198,24107121,UN0574,2019-10-06 4:09:31
543038199,17644354,UN0578,2019-10-06 4:09:31
543038200,17644599,UN0578,2019-10-06 4:09:31
543038201,17644713,UN0581,2019-10-06 4:09:31
543038202,13543654,UN0582,2019-10-06 4:09:31
543038204,19019397,UN0582,2019-10-06 4:09:31
543038205,20415717,UN0583,2019-10-06 4:09:31
543038206,13553557,UN0584,2019-10-06 4:09:31
543038207,18171051,UN0584,2019-10-06 4:09:31
543038211,18170528,UN0586,2019-10-06 4:09:31
543038212,23512350,UN0586,2019-10-06 4:09:31
543038213,23512842,UN0587,2019-10-06 4:09:31
543038214,23526734,UN0587,2019-10-06 4:09:31
543038215,23513137,UN0588,2019-10-06 4:09:31
543038216,23527121,UN0588,2019-10-06 4:09:31
543038218,18379487,UN0591,2019-10-06 4:09:31
543038219,16212685,UN0592,2019-10-06 4:09:31
543038220,16213449,UN0592,2019-10-06 4:09:31
543038221,21284732,UN0593,2019-10-06 4:09:31
543038222,21198605,UN0597,2019-10-06 4:09:31
543038223,21200219,UN0598,2019-10-06 4:09:31
543038224,21207416,UN0598,2019-10-06 4:09:31
543038230,21583891,UN0606,2019-10-06 4:09:31
543038231,21637811,UN0607,2019-10-06 4:09:31
543038232,21542472,UN0608,2019-10-06 4:09:31
543038233,21543052,UN0614,2019-10-06 4:09:31
543038234,21703041,UN0615,2019-10-06 4:09:31
543038235,21542921,UN0616,2019-10-06 4:09:31
543038236,22778398,UN0617,2019-10-06 4:09:31
543038237,23909427,UN0618,2019-10-06 4:09:31
543038238,23969015,UN0619,2019-10-06 4:09:31
543038239,21557465,UN0624,2019-10-06 4:09:31
543038240,20006989,UN0626,2019-10-06 4:09:31
543038241,22778745,UN0627,2019-10-06 4:09:31
543038242,21788753,UN0628,2019-10-06 4:09:31
543038243,21683258,UN0629,2019-10-06 4:09:31
543038244,21554894,UN0630,2019-10-06 4:09:31
543038245,23905487,UN0631,2019-10-06 4:09:31
543038246,23982346,UN0632,2019-10-06 4:09:31
543038247,23984524,UN0633,2019-10-06 4:09:31
543038249,19076008,UN0638,2019-10-06 4:09:31
543038250,19087209,UN0639,2019-10-06 4:09:31
543038254,21730568,UN0645,2019-10-06 4:09:31
543038255,21303631,UN0651,2019-10-06 4:09:31
